time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-10 00:00:00+00:00,252,113,34,9
2023-02-11 00:00:00+00:00,217,117,6,5
2023-02-12 00:00:00+00:00,182,101,5,4
2023-02-13 00:00:00+00:00,288,131,46,8
2023-02-14 00:00:00+00:00,316,144,31,12
2023-02-15 00:00:00+00:00,273,121,6,2
2023-02-16 00:00:00+00:00,274,120,40,6
2023-02-17 00:00:00+00:00,261,112,24,7
2023-02-18 00:00:00+00:00,210,100,14,8
2023-02-19 00:00:00+00:00,153,99,10,8
2023-02-20 00:00:00+00:00,257,115,24,8
2023-02-21 00:00:00+00:00,254,121,19,7
2023-02-22 00:00:00+00:00,262,120,21,11
2023-02-23 00:00:00+00:00,209,97,43,16
