time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-27 00:00:00+00:00,213,40,40,4
2026-06-28 00:00:00+00:00,73,46,19,8
2026-06-29 00:00:00+00:00,294,48,9,9
2026-06-30 00:00:00+00:00,683,19,7,7
2026-07-01 00:00:00+00:00,66,13,1,1
2026-07-02 00:00:00+00:00,35,26,3,2
2026-07-03 00:00:00+00:00,48,42,5,4
2026-07-04 00:00:00+00:00,27,19,12,5
2026-07-05 00:00:00+00:00,37,25,7,5
2026-07-06 00:00:00+00:00,22,18,5,5
2026-07-07 00:00:00+00:00,105,36,8,4
2026-07-08 00:00:00+00:00,22,18,4,4
2026-07-09 00:00:00+00:00,601,26,12,4
2026-07-10 00:00:00+00:00,730,46,4,3
