time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-21 00:00:00+00:00,225,25,3,3
2026-08-22 00:00:00+00:00,98,8,4,4
2026-08-23 00:00:00+00:00,6,5,5,3
2026-08-24 00:00:00+00:00,226,22,20,5
2026-08-25 00:00:00+00:00,80,12,2,2
2026-08-26 00:00:00+00:00,150,10,2,2
2026-08-27 00:00:00+00:00,1279,9,6,6
2026-08-28 00:00:00+00:00,502,28,5,5
2026-08-29 00:00:00+00:00,447,30,5,3
2026-08-30 00:00:00+00:00,574,37,2,2
2026-08-31 00:00:00+00:00,1638,54,2,2
2026-09-01 00:00:00+00:00,40,26,4,4
2026-09-02 00:00:00+00:00,15,12,7,7
2026-09-03 00:00:00+00:00,146,19,11,5
