time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-13 00:00:00+00:00,534,155,22,8
2023-01-14 00:00:00+00:00,591,167,59,7
2023-01-15 00:00:00+00:00,523,161,63,14
2023-01-16 00:00:00+00:00,523,173,93,20
2023-01-17 00:00:00+00:00,584,187,17,11
2023-01-18 00:00:00+00:00,415,147,17,7
2023-01-19 00:00:00+00:00,177,91,43,12
2023-01-20 00:00:00+00:00,114,48,28,7
2023-01-21 00:00:00+00:00,105,62,22,7
2023-01-22 00:00:00+00:00,117,75,9,7
2023-01-23 00:00:00+00:00,166,70,8,5
2023-01-24 00:00:00+00:00,107,42,16,5
2023-01-25 00:00:00+00:00,108,48,8,4
2023-01-26 00:00:00+00:00,104,42,7,3
