time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-17 00:00:00+00:00,4,3,6.0,6.0
2025-02-18 00:00:00+00:00,11,10,11.0,6.0
2025-02-19 00:00:00+00:00,114,32,20.0,3.0
2025-02-20 00:00:00+00:00,54,17,7.0,3.0
2025-02-21 00:00:00+00:00,6,5,,
2025-02-22 00:00:00+00:00,11,11,2.0,2.0
2025-02-23 00:00:00+00:00,1,1,12.0,3.0
2025-02-24 00:00:00+00:00,132,22,7.0,6.0
2025-02-25 00:00:00+00:00,52,15,14.0,5.0
2025-02-26 00:00:00+00:00,88,33,18.0,9.0
2025-02-27 00:00:00+00:00,88,11,47.0,8.0
2025-02-28 00:00:00+00:00,6,5,15.0,8.0
2025-03-01 00:00:00+00:00,148,25,13.0,7.0
2025-03-02 00:00:00+00:00,4,4,3.0,2.0
