time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-29 00:00:00+00:00,6,6,7,2
2025-06-30 00:00:00+00:00,79,14,11,3
2025-07-01 00:00:00+00:00,10,9,11,5
2025-07-02 00:00:00+00:00,5,4,15,7
2025-07-03 00:00:00+00:00,6,5,7,2
2025-07-04 00:00:00+00:00,197,25,5,5
2025-07-05 00:00:00+00:00,11,7,4,2
2025-07-06 00:00:00+00:00,4,3,5,4
2025-07-07 00:00:00+00:00,5,4,30,3
2025-07-08 00:00:00+00:00,51,11,28,7
2025-07-09 00:00:00+00:00,62,12,28,8
2025-07-10 00:00:00+00:00,6,5,3,3
2025-07-11 00:00:00+00:00,4,3,29,6
2025-07-12 00:00:00+00:00,113,8,37,1
