time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-15 00:00:00+00:00,270,117,5,5
2023-04-16 00:00:00+00:00,292,111,15,11
2023-04-17 00:00:00+00:00,414,160,23,20
2023-04-18 00:00:00+00:00,498,141,16,11
2023-04-19 00:00:00+00:00,413,152,11,8
2023-04-20 00:00:00+00:00,379,129,34,10
2023-04-21 00:00:00+00:00,295,121,7,5
2023-04-22 00:00:00+00:00,237,108,4,3
2023-04-23 00:00:00+00:00,114,67,8,5
2023-04-24 00:00:00+00:00,166,61,109,16
2023-04-25 00:00:00+00:00,219,78,41,7
2023-04-26 00:00:00+00:00,328,124,8,7
2023-04-27 00:00:00+00:00,335,117,16,11
2023-04-28 00:00:00+00:00,717,126,116,2
