time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-07 00:00:00+00:00,5.0,5.0,1,1
2025-01-08 00:00:00+00:00,2.0,2.0,61,9
2025-01-09 00:00:00+00:00,,,16,10
2025-01-10 00:00:00+00:00,3.0,3.0,7,5
2025-01-11 00:00:00+00:00,,,11,4
2025-01-12 00:00:00+00:00,101.0,6.0,21,5
2025-01-13 00:00:00+00:00,34.0,5.0,11,6
2025-01-14 00:00:00+00:00,44.0,13.0,24,10
2025-01-15 00:00:00+00:00,109.0,9.0,22,6
2025-01-16 00:00:00+00:00,39.0,5.0,9,6
2025-01-17 00:00:00+00:00,1.0,1.0,13,6
2025-01-18 00:00:00+00:00,72.0,9.0,16,3
2025-01-19 00:00:00+00:00,71.0,8.0,33,14
2025-01-20 00:00:00+00:00,66.0,6.0,42,6
