time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-06 00:00:00+00:00,17.0,13.0,17.0,1.0
2023-06-07 00:00:00+00:00,58.0,47.0,14.0,1.0
2023-06-08 00:00:00+00:00,177.0,96.0,,
2023-06-09 00:00:00+00:00,147.0,72.0,12.0,1.0
2023-06-10 00:00:00+00:00,82.0,45.0,5.0,5.0
2023-06-11 00:00:00+00:00,17.0,14.0,,
2023-06-12 00:00:00+00:00,1.0,1.0,2.0,2.0
2023-06-13 00:00:00+00:00,1.0,1.0,6.0,4.0
2023-06-14 00:00:00+00:00,,,10.0,4.0
2023-06-15 00:00:00+00:00,1.0,1.0,,
2023-06-17 00:00:00+00:00,,,27.0,1.0
2023-06-18 00:00:00+00:00,3.0,1.0,1.0,1.0
2023-06-19 00:00:00+00:00,2.0,2.0,18.0,3.0
